,Mistral,Mistral,Mistral,Gemma3,Gemma3,Gemma3
,Commonsense,Deontology,Justice,Commonsense,Deontology,Justice
accuracy,,100.0,50.0,,75.0,75.0
avg_length,136.0,51.25,40.0,505.0,26.5,25.25
execution_time (seconds),82.93423170002643,101.7225437000161,79.86513920000289,115.63992109999526,48.85725149995415,36.895289100008085
judgment,100.0,100.0,100.0,100.0,100.0,100.0
justification,100.0,100.0,75.0,100.0,100.0,100.0
reframing,0.0,0.0,0.0,0.0,0.0,0.0
refusal_rate,0.0,0.0,0.0,0.0,0.0,0.0
uncertainty,100.0,25.0,25.0,100.0,0.0,0.0
